Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index,International Securities Identification Number
BANKBARODA,BANK OF BARODA,216.7,INR,0.4869000695571449,9614502,1.0447179275764946,1120634089833,INR,5.485492681790797,39.5042,INR,3.213113726145929,3.50715274573143,Finance,Buy,"Nifty Bank, Nifty 500, Nifty Next 50, Nifty PSU Bank, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE028A01039
BANKINDIA,BANK OF INDIA,105.84,INR,3.359374999999998,9871684,1.2359349060123548,481808859469,INR,5.655477541598538,18.7146,INR,20.841485384421677,2.64575262212983,Finance,Buy,"Nifty 500, Nifty PSU Bank, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE084A01016
BASF,BASF INDIA LTD,4516.55,INR,-0.0741166839974215,38832,1.5307051602959552,195729001738,INR,31.867170439672478,141.7305,INR,26.691802918200814,0.331726303684373,Process industries,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE373A01013
BATAINDIA,BATA INDIA LTD,1243.4,INR,-2.040494760891819,130336,1.3381808026661715,159862563157,INR,45.87125502189528,27.1063,INR,31.724017280506956,1.76877311464866,Consumer non-durables,Neutral,"Nifty 500, Nifty Consumer Durables, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty MNC, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE176A01028
BAYERCROP,BAYER CROPSCIENCE LTD,4874.25,INR,-1.9423432847831372,44766,1.8333196822016544,219173589855,INR,42.070098273609055,115.8602,INR,-35.155679828783526,2.563156167979,Process industries,Buy,"Nifty 500, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE462A01022
BBL,BHARAT BIJLEE LTD,2794.2,INR,4.661485157786303,138876,2.1954944273179984,31547572677,INR,23.949026679740264,116.6728,INR,20.139051926173966,1.25400834811272,Producer manufacturing,,"Nifty MicroCap 250, Nifty Total Market",INE464A01036
BBTC,BOMBAY BURMAH TRADING COR,1784.6,INR,2.6694281440570626,104745,1.900329103727544,124626571503,INR,11.57394196296546,154.1912,INR,,0.794983764416079,Consumer non-durables,,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE050A01025
BDL,BHARAT DYNAMICS LTD,1293.1,INR,3.696872493985558,3193923,2.045711022452956,473965312500,INR,83.79776038156461,15.4312,INR,18.658638799818533,0.375096674400619,Electronic technology,Buy,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE171Z01026
BECTORFOOD,MRS BECTORS FOOD SPE LTD,1560.7,INR,0.583250088615342,69910,0.5176746920683439,96155589637,INR,65.1801673877817,23.9444,INR,4.788579531032553,0.319264414788328,Consumer non-durables,Strong buy,"Nifty MicroCap 250, Nifty Total Market",INE495P01012
BEL,BHARAT ELECTRONICS LTD,295.74,INR,-0.4410031981147962,41751586,1.8842514331015605,2161867082642.0002,INR,43.30965805081643,6.8285,INR,39.83944625340461,0.743871513102282,Electronic technology,Strong buy,"Nifty 50, Nifty 500, Nifty 200, Nifty PSE, Nifty CPSE, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250",INE263A01024
